"sentiment","text"
"0","sekolah online muluuu bosenn njir pelajaran ga masuk otak samsek "
"1","semoga kesampaian punya rumah tempat tinggal sendiri dan bisa pasang wifi yang super kenceng dan jarang problem demi sekolah belajar online nya lancar "
"0","mereka ada tanggungan juga yang mungkin tiap minggu tiap bulannya bakal dilaporin ke kepsek dll dan guru juga ga semuanya punya fasilitas lengkap apalagi guru di pedalaman gak cuma siswa kok yang beban sekolah online guru juga "
"0","rame banget ibu ribut karena sekolah daring tugas anaknya banyak jd orang tuanya yang mesti ngerjain terus marah marah karena sekolah online maksa ortu untuk belajar"
"0"," media sekolah online ga efektif also media muncul cluster baru di sekolah pemerintah dianggap tidak mampu also other people pemerintah goblog mau nya apa sih ini pada herman saya masalah di puter puter mulu ih nurut kagak"
"1","tbh aku setuju juga sebagai mhs pendidikan yang pernah ppl walo bentar yang namanya ngajar tuh gak gampang banyak yang perlu disiapkan ya administrasi kayak rpp media pembelajaran dll gak asal jeblak guru masuk kelas doang guru pasti juga pusing sekolah online gini "
"1","sekolah online jalan twitter juga jalanlah harus seimbang"
"1"," wkwkjadi bisa bantuin orang tua si kalo sekolah online gini v"
"1","di sekolah lagi berlangsung online learning alhamdulillah koneksi kami lancar jaya tapi bnyak ortu murid yg telp ke skolah kl jaringan internet di rumahnya putus tiba tiba suamiku ngechat begini juga kami pakai indihome alhasil kenzo ga bisa ikut pelajaran di jam terakhir "
"1"," kalo lagi ngajarin anaknya sekolah online jgn di marah in mulu napah kasian aku setiap pagi denger tangisan anak kecil karena mungkin kurang paham dari apa yg di ajarin "
"1","berkat sekolah online alhamdulilah bolpoin gue gak hilang terus belajardarirumah"
"1","sebenernya pingin bgt kuliah offline lagi tapi abis tau berita yg grgr sekolah offline lgsg banyak anak anak yg positif jadi lebih legowo buat nerima kalo bakal kuliah online lagi semoga ja cepat kelar ni pandemi "
"1","kami sedang mengalang dana untuk membeli android untuk belajar online dari rumah anak binaan kami tidak semuanya orangtua punya android kami menyediakan wifi gratis untuk anak binaan sekolah yuk berdonasi segera untuk android "
"1"," andai kemkominfo sekarang bisa mengaktifkan kembali ide ini sebagian masalah sekolah online bisa terselesaikan ya pak "
"1","akhirnya ada guru yang mau dengerin curhatan anakmutisnya ttg sekolah online "
"1"," jalankan sekolah online offline juga kalo emng kitanya gamau ya gabakal bisa"
"1","yang sekolah online yok semangat daringnya jangan cuma absen doang "
"1","habis dapet kabar bakalan sekolah offline langsung lemes aku tida mauuu flisss karena sudah terlalu nyaman dengan sekolah online "
"1","sekolah online santuyyy"
"0","anj gini amat si sekolah online"
"1","sekolah online bikin kecepatan ngetikku meningkat ok trimaksih skolah online "
"0","kabur dr sekolah online check"
"0"," iya udh muak sekolah online tapi mau offline juga masih bahaya mana anak sekolah mah udh pasti ngeyel ntar pas masuk pasti yg positif langsuk nanjak lagi"
"0","sekolah onlineguru ngasi tugas seenaknya jinc"
"0"," pokoknya kalo misal masuk gua gak mau gua kuat deh sekolah online asal guru tuh ngasih tugas sewajarnya dan sesuai jadwal mapel dia lah ini yang bikin kesel udah ngasih ga sesuai jadwal gak ngajarin tapi ngasih tugas bejibun anjink"
"1","gara gara sekolah online gini aku jadi kepikiran mau homeschooling karena jujur kalo ketemu orang bawaannya cape banget "
"1","sobat gen yang lagi sekolah online semangat ya semoga tugasnya entar gak banyak tapi kalo tugasnya banyak yauda dikerjain sambil dengerin dong di semangatpagiwanipooll ada juga salah sambung bareng gen fmsby "
"1"," seenggak sukanya gue sama online school tp serem juga klo sekolah offline "
"0","anjir gw sekolah online malah jadi goblok"
"1","halo snapeer gimana nih sekolah online kalian harus tetap semangat ya walaupun belajar dari rumah "
"1","seenggak sukanya gue sama online school tp serem juga klo sekolah offline "
"1"," my hy my selamat pagijgn lupa sarapan yaasekolah online nya harus semangatttt "
"1"," mksh sekolah online gak klo msh smngt ya"
"1","itu sebabnya saya ndak bosan berteriak ke agar mengajarkan home schooling system di era pandemi korona ini anak sehat atau anak sekolah di rumah home schooling pun perlu guru baik online ataupun kunjungan dlm wkt tertentu bisa juga ditambah kumpul beberapa anak "
"1","kakak sekolah online ade sekolah online emaknya ga mau kalah sekolah online juga saat ini di rumah masing pegang hp belajar materi beda "
"0","yg bolos sekolah online trs kabur ke twt sini ngumpul dulu aku mau absen "
"1","pro bgt si kmrn di twitter muncul berita sekolah udh dibuka trs muridnya positif covid semua ah ak lupa linkk nyaaa in the other side untuk saat ini sekolah online adalah pilihan yg tepatt sekalii "
"1","untuk kamu yang kuliah kerja sekolah online semangat yaa buat yang kaum rebahan juga semangat manis jangan lupa sarapan hehehehet "
"1"," ini sih argumen ku selalu kalo ada yang ngeluh sama sekolah kuliah online solusinya apa ini bukan mau kita bukan juga mau pemerintah ini semua terpaksa karena keadaan mau buka sekolahnya ya makin bahaya "
"1"," akhirny ada yg sepemikiran males bgt bacain ocehan temen temen ttg sekolah online ndk masuak ka utak lu ny aja yg ganiat belajarpake alasan ga masuk ke otak pemerintah pastinya juga gamau sekolah onlinetp mengingat kondisi lg kayak gini what we can we do "
"1"," tapi sekolah online insyaallah cuma taun ini kan "
"0"," wkwkw sabar shan sekolah online kagak tau apa apa tugasnya bejibun "
"1","asik semangat yang sekolah online aku bentar lagi mau seminar up semester depan amiin insyaallah "
"1","good morning guys buat yang sekolah online semangat yaa "
"1","ya ak sendiri emang masih suka sambat sih dengan sekolah online tp ya aku mikir juga guru juga pasti bingung dan kewalahan sih siswanya mau diapain"
"1","morninggg have a nice day moots jangan lupa sarapan dan bagi yang lagi sekolah online semangatt "
"1"," ih kok enakk sekolah online kan "
"1","selamat beraktifitas semuanya guys yang kerja semangat yang lagi sekolah online semangat yang kuliah online juga semangat yang rebahan semoga cepet dapet hidayah ya "
"0","semangatin aku dong sekolah online sumpah malez aned"
"1","pagi ayangie semangat sekolah online mya yaa "
"1"," hooh iya rajin karna ada sekolah online aja "
"1","fasilitas untuk pembelajaran jarak jauh atau online harus di siapkan sekolah secara ekstra kerja keras sehingga dua metode pembelajaran masih dilakukan yaitu baik daring maupun tatap muka khofifah gubernur jatim "
"0","sekolah online gini bikin makin goblok gaboong gaada yg msk otak samsek"
"1","good morning moots have a nice dayy buat yg sekolah online semangatt "
"1","pihak sekolah harus ekstra kerja keras dengan tetap menyediakan fasilitas pembelajaran jarak jauh atau online sehingga dua metode pembelajaran masih dilakukan yaitu baik daring maupun tatap muka ujar wahid khofifah gubernur provinsi jatim "
"1","wahid menegaskan karena belajar tatap muka hanya dilakukan untuk kapasitas yang sangat minimal maka sekolah tetap harus ekstra kerja keras dengan tetap menyediakan fasilitas pembelajaran jarak jauh atau online gubernur jatim "
"1","yg sekolah online semangat ya jangan habis absen tidur lg"
"0"," kalo untuk sekarang sih iya tapi kalo suruh pilih off onn pasti pilih off dong sekolah online lama jadi kek ibu  yg suaminya ilang "
"1","pagiii semangat kuliah sekolah online ya "
"1"," my selamat pagiijangan lupa sarapansemangat sekolah online nya "
"1","pagi moots have a nice day semangat juga sekolah online nya hari ini jangan lupa sarapan dulumandidll yg udh tamat juga semangat jalanin hari nya "
"1","morning mootshave a nice dayyyang mau sekolah online semangat yaajangan skip sarapan nanti sakitt "
"1","morning all semangat sekolah online "
"1"," bismillah mau pulsa buat sekolah online wish me luck"
"1","dr awal video ini viral hatiku seperti ada penolakan untuk menonton sampe ahir sekolah online siapa yang mau sih kalo situasinya gak kaya gini ayolah dimohon kerjasamanya dikira guru happy dg adanya sekolah online gini stress juga hyung ngadepin murid yg ga ngerti ngerti "
"1"," aww makasih beb ek cemangat juga sekolah online nya "
"1","pagii smwa smngatt sekolah online yhh "
"1"," semangat sekolah online nyaa yaa jangan lupa sarapan dulu yang banyakk kangen alya juga "
"1","pagiiiii semangat sekolah online "
"1","pagii have a nice day semangat juga buat yg sekolah online "
"1"," hiii jgn lupa sarapan ya semangat jg sekolah online nya"
"1"," hi jgn lupa sarapan semangat jg sekolah online ya"
"1"," jan lupa sarapan semangat sekolah online"
"0","lama lama ga niat sekolah online anjrot "
"1"," jangan lupa sarapan ya semangat sekolah online nyaaa"
"1"," njm pagii semuaa nanadoongie ayoo yang nangis dilap dulu air matanya semangatt yaaa sekolah online nyaa hari ini ki "
"1","selamat pagi moots yg sekolah online yg kerja yg beres rumah semangat have a nice dayy "
"1"," mantap terus berbakti untuk negeri sekolah online mahal ansor gerakkan wifi gratis nasional ansorpedul "
"1"," njm pagii semuaa nanadoongie ayoo yang nangis dilap dulu air matanya semangatt yaaa sekolah online nyaa hari ini kita seru seruan "
"1","this is what i thortught when his video goes viral sekolah online login teus tidur haaaa anda tidur atas kemauan sendiri kok yg disalahin sistem belajar daringnya ya mo online ga online mo guruny ngasi tugas di rumah gmnapun itu tanggung jawab siswa buat tetep belajar ya mz "
"1"," bener banget heran sama yang suka ngeluh sekolah online ga efektif ya trus kasi masukan dong bagusnya sekolah apa biar ga online jangan bisanya ngeluh terus giliran dimintai saran bilangnya tugas pemerintah"
"1"," wish me luck satu dua ikan lari semangat buat sekolah online nya terimakasih ga nyaaa "
"1"," morningselamat sekolah online wk klo kalian sekolah"
"1","selamat pagi buat yang sekolah online"
"1"," sekolah online bukan karena keren kerenan my luv tapi terpaksa karena kondisi kalau kalian ketiduran pas kelas jangan salahin metode belajarnya itu kalian sendiri my luv yarobi "
"0","sebenernya g masalah sih libur tahun tahun aja g ush ada pelajaran percuma lo sekolah online yg ada g mudeng mending g naik kelas apalagi indonesia ekonomi minim bgt lagian kita g naik kelasnya serentak kok se indonesia justru kalo tetep di adain sekolah online cont "
"1","yg sekolah online semangat yang kerja semangat jugaa "
"1","pagiii temen temen online ku jan lupa mandi sarapan terus sekolah yaa "
"1"," selamat pagi untuk kalian yang selama ini sekolah online jangan lupa buat sarapan tugas segera kerjakan memang kita semua tersiksa dengan semua kebijakan yang ada tapi mau bagaimana mau ga mau harus terima "
"1","pagii semua semangat yah buat hari ini buat yg lagi sekolah online jangan males ngerjain tugasnya dan buat kakak yg hari ini jg kerja ttp semangat kalo ad yg mau cerita ato lagi ngerasa down aku open dm sekali lagi have a nice day dear mtvhottest bts "
"1"," wish me luck buat tambahan sekolah online mely "
"0","sekolah offline udh bego sekolah online makin bego"
"1"," gak ada tuh yang pengen sekolah online guru aja capek apalagi siswa guru nyiapin video pembelajaran belum lagi kalau siswa nya belum ngerti instruksi kita sama sama tau kalau sekolah online ini gak efektif tapi untuk saat ini harus seperti ini "
"0"," serius deh lama kok muak bgt ya sama postingan org tentang sekolah online sebagai guru aku jg ngerasain kok gk enakn "
"0"," kapan ya sekolah normal lagibiar gak belajar online lewat hp biar gk rebutan pake hp "
"1"," layanan wifi gratis utk siswa sekolah ini free cuma fasilitas internet gratis ini dipasang di rumah rumah kader gp ansor "
"1"," krn itu gp ansor meluncurkan program wifi gratis utk siswa sekolah di tengah keprihatinan banyak siswa yg kesulitan mengakses "
"0"," bnyk keluhan dr siswa maupun ortunya krn harus belajar daring salah satunya trkait kuota internet pandemi mmbuat ekonomi tr "
"1"," inisiasi gerakan wifi gratis utk siswa sekolah ini brgerak atas keprihatinan gp ansor pd pendidikan di kala pandemi dmn sisw "
"1"," wabah corona membuat semua aktivitas terganggu begitu juga kegiatan belajar mengajar yang dilakukan secara online otomatis "
"0","gak sanggup otak belajar online gini kapanlah masuk sekolah ya allah "
"1"," untuk mereka yang tak mampu membeli paket data untuk belajar ditengah pandemi sekolah online mahal ansor gerakkan wifi "
"0","kayak yaudah sapa mau bodo silahkan gitu gue liatnya online school gini tuh keliatan kok yg mana mau sekolah beneran sama enggak gue jg ga ngerti kenapa jadi viral "
"1"," setuju banget sama ini sekolah online tuh udah solusi tepat banget buat saat ini yang masih kurang adalah bantuan terhadap masyarakat kurang mampu bantuan yang gw maksud itu ya fasilitas buat sekolah online ini kaya hp dan pulsa internet "
"1"," akhirnya ada yg menyuarakan pikiranku ketika video itu viral heran padahal adanya sekolah online jg karena pandemi bukannya diada in gtu aja "
"0","kebangun cuma ngecek sinyal gmn kembang kempis gini sinyalnya woiii please deh besok itu penting sekolah online blm lg jam psngumuman elle idol th vol ini sinyal msh naik turun bikin sebel aja "
"0","sekolah online makan mandi tidur repeat kyknya kgk ada yg menarik ya kalau ada yg menarik coba apa sebutkan "
"1"," pudori semoga kamu sekeluaga sehat selalu ya dikasih rezeki yang melimpah jadi anak yang berbakti kpda orng tua jadi anak yang pinter semangatttt ya sekolah online nyaa aku doain kamu yang terbaik disini sayang pudori "
"1"," bismillah wish me luck makasih banyak kak buat ga nya semoga sekolah online nya lacar terus tanpa hambatan apapun dan semoga corona ini udahan aja gitu cape sekolah online semangat terus ya kak sukses terus wml"
"1"," banyak sih yg bisa diperdebatkan ada bnyk hal yg jadi penghambat sekolah online gakan cukup kalo hanya lihat dri beberapa aspek dan persepektif "
"1","setuju bgt gilaaa orang ngeluh sekolah online ya emg kalau dipikir pikir siapa sih yg tau kalau bakalan kayak gini sekolah online itu salah satu upaya pemerintah yg diluar ekspektasi kalau ngeluh karena gangerti ya belajar lagi bukan salahin pemerintah hadeuhh "
"1"," gerakan pasang wifi di masjid masjid kita agar anak anak yang tidak punya kuota pulsa untuk sekolah online bisa belaja "
"1"," gwe emg aneh disaat tmn gwe suka sekolah online pengen cpt msk gwe malah gasuka soalnya gwe lebih enk bljr drmh gini bisa rebahan sambil dengerin guru dan paham aja gt klo bljr sendiri "
"1","jujur gwe lebih seneng sekolah online krn sekolah online cmn sampe jam klo sekolah biasa gue bisa ampe jam dan klo gwe sekolah ampe jam malah gwe dh capek dluan jd males ngulang pelajaran yg udh dbhs di sekul blom lg gwe org nya aktif ikut eskul dan osis ada yg sama ga "
"1","sekolah online menjadi bukti bahwa ortu harus berpendidikan juga di lain sisi buat biaya hidup dan pendidikan anak juga buat ngajarin anaknya "
"0","sumpah bsk pengen bolos sekolah online ngerayain ultah nana lebih penting"
"0","kenapasi cabut sekolah onlen itu susah bangett herann malah cabut sekolah offline gampang bgt astaga sampe gapernah takut klo mau cabut sekolah offline tp sekolah online kalo telat absen aja sampe emak di telfon kan bangke"
"0","udah ma bagus ada orang yang nyampein aspirasi keterbatasan orang orang pelosok masalah sekolah online malah di nyinyirin goblok "
"0"," ok hoe dasar emak tua gadak sekolah online besok "
"0","bikin dilema kalo siswa sekolah offline masih bahaya bahkan bisa nyebabin kluster baru kalo siswa sekolah online gangguan ke kesehatan mereka di mata dll "
"1"," jujur saya yg merasakan sekolah online merasa sangat capek dan bosan tapi jika sekolah dibuka yaa masih takut karena angka covid terus naik setiap hari dan resikonya sangat besar"
"1","tapi ya iyasih mungkin mereka ngerasa kaya udah kelas akhir dan pembelajaran online kayak kurang maksimal tapi kan balik ke kita sendiri selama pembelajaran online ini digunain sungguh atau ngga ya yang ngga cuma bisa bacot alesan sekolah online ga efektif "
"1","pas awal kulon aku juga mikir kek si siswa tapi makin kesini saat siswa i mulai sekolah online aku setuju dengan opini yang teulis disnap itu ya meskipun tidak semua memiliki kondisi yang sama pasti ada sisi positif dan negatif nya tapi berjuang adalah jalan kita "
"1"," ga tauu nih selama sekolah online sering banget nyatet "
"1","tapi salut sih sama ini anak dia beahan banget semenjak sekolah online sama sekali ga main keluar rumah segimana berisiknya temen nya main diluar kalau sore dia sih cuek aja dia blg takut kena virus "
"1","pelajaran yg dapat diambil dari sekolah online ini adalah perihal tanggung jawab sama kemandirian ketika guru kurang kasih materi mau gamau cari dan pelajari sendiri "
"1","ga setiap daerah bisa disamain ini udah dari jaman gue sekolah kalimat ini keluar tiap mau uan semua dianggap sama kyk jakaa dianggap bisa tanggap nyatanya ga bisa namanya situasi darurat mana tau tahun ini ada virus mana tau klo harus belajar online "
"1","sedih ih semenjak sekolah pada dirumahkan anak yg mungkin kurang beruntung sampe buat beli hp kuota inet aja harus sesusah itu bersyukur bgt alhamdulillah ade gue masih bisa sekolah online "
"1","siswa setingkat smp menggunakan fasilitas gratis wifi smaphone laptop apd utk mengerjakan tugas sekolah di rumah belajar online lpbi nu bangil dengan menerapkan protokol kesehatan nupedulicovid santrisiagabencana adaptasitatananbaru "
"1"," base prortud banget sama dia temen nya pd asik dianya fokus ngikut kelas online di ruang tunggu selalu masuk top di sekol "
"1"," setujuuu gaada orang yang mau pandemi ini terjadi perubahan sekolah dr offline ke online emang gaenak tp ini udah keputusan terbaik masih bingung sama yg ngotot mau sekolah offline udh se siap apa dirinya wrg sekolah untk taat protokol kesehatan aku yakin bnyk yg abai"
"1"," covid membuat anak belajar di rmh secara online mau tdk mau orang tua menjadi tumpuan untk mengawasi mengajar menemani aa "
"1"," amin kalo sekarang lagi sekolah online bun ngga di kasi keluar "
"1","sekolah online sebenernya cocok banget buat aku yang ga punya temen deket di kelas hampir semua formalitas temen kelas ga ada yang bener deket "
"1"," wahai pelajar repotnya sekolah online ini nggak ada apa apanya dibandingkan repot dan sedihnya kalau keluarga kena covid di masa yg akan datang ilmu dari sekolah bekerja sosialisasi online ini yg akan bermanfaat menghadapi dunia adapt improvise overcome "
"1"," padahal sekolah online juga bukan kemauan kemendikbud emang keadaan yg mendesak kalo misal masyarakat bisa teib dan pemerintah di bidang lain menerapkan kebijakan dgn tegas pasti sekarang bisa sekolah lagi tpi jujur aja aku pengen ospek onlen dulu "
"1"," emang bener orang lain tuh gak akan tanggung jawab kali sama masa depan kita lagian juga heran ada aja yang masih mempermasalahkan sekolah online disaat pandemic gini like woi yg susah bukan lu doang semua orang juga susah gausah ngeyel "
"1"," iyaa dan offline kita bisa nanya berulang kali kalo online gaenakk kalo aku ketinggalan drpd sekolah lain kayaknya"
"1","kalopun masih disuruh untuk stay at home belajar online di rumah ya patuhi jangan sekali kali kalian maksakan ego untuk harus sekolah offline jangan kita ga lebih pintar dari pemerintah bro gua yakin apapun kebijakan dari pemerintah masalah ini pasti udh di kaji matang "
"0"," sepupuku sekolah online dikasih materi mulu ga dibaca sama dianya "
"0"," ternyata sekolah online tak seindah yang di bayangkan sebelum setelah sekolah online sekolah "
"0","sumpah ya seng sekolah online adik e seng stress mbak e "
"1","iya walaupun ikutan terdampak tapi online learning yg sekarang tu memang jalan dari ya mau gimana lagi nya kondisi berbagai sekolah kan mending online learning daripada tidak sama sekali kalau merebak yg mana udah ada kluster sekolah kan juga pusing to "
"0"," pinter engga goblok iya anak sekolah online liburan engga tugas nambah anak rebahan "
"1"," semoga makin sukses sehat selalu makin sayang nctzen sijeuni bahagia terus jugaa happy bihday na jaemin happyjaeminday wml buat adik aku sekolah online hyung kalo dapet pulsanya "
"1"," halo ka araa semoga sehat dan bahagia selalu yaa semoga rezekinya makin lancar dan semoga ini rezeki aku buat beli kuota untuk sekolah online wish me luck mtvhotttest "
"1"," setuju emang kadang siswa tuh kek ngeremehin alah sekolah online aja bisa ditinggal tidur bisa ditinggal main twitter bisa scroll fyp nanti masalah tugas mah gampang tinggal googling atau nyontek temen nah rata rata siswa mikir gitu jadi mereka gabisa memahami materi cont"
"0"," corona buruan kelar kek kasian otak gw ga ngerti pelajaran sekolah kalo online school"
"1","dan orang orang berprivilege yang cuma bisa ngeluh kalo online learning gak efektif buat belajar lo ya lo harus cari cara belajar sendiri gak usah komplain karena lo masih mending bisa dapet akses sekolah learning "
"1","percayalah negara manapun tidak ada yang benar benar siap dengan sekolah online tapi itu pilihan yang mau tidak mau harus diambil karena demi tidak adanya korban yg lebih "
"1"," ademnya sekolah online ayah nya wfh aku nya ngajar online ayo sharing gmna ngajarin ayah yg masih bingung sama wfh dan ade yg ga ngerti pelajaran "
"1"," gw sih pro pro aja sekolah online tu kek the best option yang pemerintah punya buat saat pandemi kaya gini ga si daripada sekolah offline jalan tapi yang positif tambah banyak kan malah bikin pandemi ini ga selesai selesai "
"0"," indonesia mau lokdown selamanya buat anak sekolah karena di sekolah guru kurang di percaya mengajar anak sekolah jaga protokol kesehatan makanya sekolah tutup terus biar yg tidak tau online tak punya uang beli fulsa dan hp endroid makin bodok dan ketinggalan"
"0"," sumpah woy adanya sekolah online temen gua pelit semua gak ada yang peduli dengan gua pas gue susah apalagi di chatkamu uda "
"0","sumpah woy adanya sekolah online temen gua pelit semua gak ada yang peduli dengan gua pas gue susah apalagi di chatkamu udah tugas yang ini dia bilang belum ngerjain lur eh tau tau udah ngumpulin aja kan kezel jujur aja ngapa sih nasib otak pas pas an ya seperti gue ini "
"0","gue sekolah online cuma absen jawab salam dari guru nyalin tugas temen nyimak sumpah ga ada yang masuk ke otak materinya"
"0","ini bener tp yg agak gw kurang suka di sekolah online itu guru kadang suka ngasih materi tanpa menjelaskan dan suka ngasal ngasih tugas jd ya guru juga jgn keenakan wkwkwk "
"1"," ansorpedulipendidikan program wifi gratis untuk siswa sekolah juga dilaksanakan pc gp ansor jakaa selatan jakaa pusat "
"0"," iyakann aku udah dibikin nangis karena tugas sekolah online "
"1"," jujur aku menikmati kok sekolah online tanpa mandang fasilitas yaa skl aku mulai jam selesai jam tugasnya juga sama banyaknya kayak sekolah offline kalo offline juga ga menjamin aku ngerti materi menurut aku kita ngerti materi itu tergantung pribadi masing "
"0"," ponakan sekolah online aku kuliah online dortuble kill "
"1"," wish me luck buat adik aku sekolah online dia pake telkomsel hyungg "
