"sentimen","tweet"
"1","Pilkada Ditengah Pandemi Covid 19 mari kita Disiplin Protokol Kesehatan guna terciptanya Pilkada yang Amanman dan nyaman"
"1","Patuhi Protokol Kesehatan demi terciptanya Pilkada 2020 yang Aman dari "
"0","Demo boleh Pilkada dangdutan boleh embel embel protokol kesehatan Tempat ibadah dibatasi diberi jarak Sekolah ga boleh Hmm aneh "
"1","Hai Sobat Polri Yuk tetap patuhi protokol kesehatan yaa dalam memilih pasangan calon pimpinan daerah dalam Pilkada 2020"
"1","ayohh memilih dan patuhi protokol kesehatan pilkada serentak 2020"
"1","Jadikan Pilkada serentak tahun ini tetap tenang tanpa adanya provokasi dan tetap Patuhi Prokes Pada Pilkada "
"1","Protokol Kesehatan Kunci Sukses Pilkada "
"0","2 kampanye pada Pilkada di Sulsel dibubarkan Kampanye tersebut dibubarkan lantaran melanggar protokol kesehatan "
"1","KPU Persilakan Bawaslu Tindak Pelanggaran Protokol  di Pilkada "
"1","Polres Tabalong Siap Mengamankan dan Mensukseskan Pilkada Serentak 2020 Disiplin Protokol Kesehatan Cegah "
"1","Ketua DPW PKB Sulawesi Tenggara Sultra Jaelani S Ip meminta seluruh kader PKB mematuhi protokol kesehatan saat pilkada"
"1","Berhenti sebarkan berita hoax Damai pilkada dan tetap patuhi protokol kesehatan Pilkada Sehat Taati 3M"
"1","GUNAKAN HAK PILIH ANDA DENGAN TETAP DISIPLIN PROTOKOL KESEHATAN Ciptakan pilkada sulut 2020 yang aman dan sehat"
"1","Yuk gunakan hak pilihmu dalam Pilkada 2020 dengan tetap disiplin protokol kesehatan pencegahan  "
"1","TENTUKAN PILIHANMU DENGAN TETAP MEMATUHI PROTOKOL KESEHATAN PILKADA SERENTAK TAHUN 2020"
"1","Partai Golkar berkomitmen menjadi partai percontohan terutama dalam hal adaptasi dan penerapan protokol kesehatan"
"1","Protokol Kesehatan Kunci Sukses Pilkada"
"1","Silaturahmi kepada Tokoh masyarakat dalam kesempatan tersebut Menyampaikan pesan agar membantu menciptakan situasi pilkada aman"
"1","Ciptakan suasana sejuk dan damai pada tahapan pilkada terutama tahapan kampanye dengan disiplin protokol kesehatan"
"1","Hindari isu SARA Lawan HOAX Tolak money Politik Dan disiplin protokol kesehatan Kita wujudkan Pilkada berkualitas"
"1","Atasi corona dengan protokol kesehatan menangkan demokrasi dengan berkompetisi Wujudkan pilkada 2020 yang sehat"
"1","Pilkada serentak 2020 Nyoblos tetap jalan Patuhi protokol kesehatan tetap oke "
"1","Berikan Hak Suaramu Terapkan Prokes Selalu Yuk berikan hak suaramu saat pesta demokrasi Pilkada 2020 Tapi jangan lupa 3M"
"1","Semangat Bela Negara Bisa Dijadikan Modal untuk Atasi Krisis Pandemi"
"1","Jadilah bangsa yang cerdas dengan gunakan hak pilih dan patuh protokol kesehatan Yuk gunakan hak pilihmu dalam Pilkada 2020"
"1","Terimakasih sobat Polri Ayo sukseskan Pilkada serentak 2020 dengan tetap mengikuti setiap imbauan 3m"
"1","Betul sekali sobat Polri Ayo sukseskan Pilkada serentak 2020 dengan tetap selalu patuhi protokol kesehatan yaa"
"1","Terimakasih sobat Polri Ayo sukseskan Pilkada serentak 2020 dengan tetap selalu patuhi protokol kesehatan yaa"
"1","Hallo sobat Polri Ayo sukseskan Pilkada serentak 2020 dengan tetap selalu patuhi protokol kesehatan yaa"
"1","Mari Ciptakan Pilkada Damai Aman dan Sejuk dan tetap patuhi Protokol Kesehatan "
"1","Protokol kesehatan pilkada sesuai PKPU 13 2020 Disiplin Pakai Masker"
"1","Pilkada 2020 menggunakan Protokol Kesehatan "
"1","Dukung Pilkada serentak 2020 dengan mematuhi Protokol Kesehatan di setiap tahapan Pilkada "
"1","Wujudkan Pilkada Damai Aman dan sejuk dengan mematuhi protokol kesehatan"
"1","emang mau ditunda sampai kapan ada kepastian pandemi berakhir"
"1","POLSEK CIKANDE POLRES SERANG Pilkada Serentak Tetap Damai Jaga Persatuan dan Kesatuan Tetap Patuhi Protokol Kessehatan"
"1","Masyarakat antusias dan optimis Pilkada berjalan lancar Sosialisasi melaksanakan disiplin protokol kesehatan ketat"
"1","Patuhi Protokol Kesehatan Pilkada sesuai PKPU 13 2020 "
"1","Jalin kemitraan dengan menyambangi tokoh dan masyarakat serta menyampaikan himbauan agar atuhi protokol kesehatan saat pemilu"
"1","Jalankan protokol kesehatan pada Pilkada serentak 9 Desember 2020"
"1","Lawan covid 19 sukseskan pelaksanaan pilkada serentak tahun 2020 di provinsi maluku utara dengan tetap patuhi protokol kesehatan"
"1","Wujudkan Pilkada aman dan damai serta tetap mematuhi Protokol Kesehatan "
"1","Wujudkan Pilkada Berkualitas Semua Pihak harus Terapkan Protokol Kesehatan "
"1","Makassar Pilkada Damai Ayo Pakai Masker Terapkan Protokol Kesehatan dalam Kehidupan Sehari hari"
"1","Kok spt gak ada hujan gak ada angin ngusulkan RUU yg tdk terkait langsung dgn mitigasi pandemi Ada apa Perlu dicermati"
"1","Biar gak ada politik kepentingan Usul kedua Adakan pooling secara langsung apakah PILKADA dilanjutkan atau ditunda "
"0","Pandemi menggoyang status quo aspek politik suatu negara polanya sama kaya di AS Jerman Bulgaria Hong Kong Thailand Indonesia"
"1","Bawaslu mulai tegas Atasi Pelanggaran Kampanye Pilkada Sikap Bawaslu Diapresiasi"
"1","Ayo dukung ketegasan bawaslu RI dalam hal mengambil tindakan terhadap kontestan pilkada serentak yang mengabaikan protokol kesehatan"
"1","Apresisi untuk Bawaslu Untuk pilkada aman dan sehat memang butuh ketegasan dan sanksi yg bisa memberikan efek jera"
"1","Banyak pihak menilai Bawaslu sudah mulai melakukan tindakan tegas atas pelanggaran yang berkenaan dengan pilkada"
"0","Klaster Pilkada di 270 daerah pemilihan lebih gawat ketimbang demo Omnibus Law"
"0","Ntar pilkada jangan datang biar aja mereka yang datang ke rumah Alasannya covid aja kan namanya juga perwakilan"
"1","Mari bersama menyukseskan Pilkada malang Nomor 1"
"0","Kenapa banyak kenapa yang mengganjal di otak kenapa sekolah dilarang masuk pilkada di iyakan kenapa lagi"
"0","Pilkada itu hak anak mantu Kalau demo itu hak rakyat yg kalian tipu Benar benar ANJINGGGGG ini rezim"
"0","Pilkada tak lebih dari berebut kekuasaan demi kepentingan pribadi dan kelompok Duit menjadi faktor penting "
"0","Ormas apa yg nolak pilkada dg alasan COVID19 tapi mendukung demo Umnibus Lau Ciri2nya Jelmaan Pam Swakarsa "
"1","Sudah saatnya dia pensiun dan ikut pilkada "
"1","Pandemi tak bisa dijadikan alasan untuk menunda hajatan lima tahunan yang sudah berjalan dan diagendakan lama"
"0","Efektifnya sih januari Tapi belum tau tunggu vaksin katanya Kalo misal pilkada desember besok kasus covid meningkat bagaimana"
"0","Rakyat tolak revisi UU KPK UU KPK direvisi Rakyat tolak politik dinasti anak amp mantu maju pilkada"
"1","Untuk itu mari semua pihak untuk fokus penanganan corona tanpa melewatkan agenda demokrasi 5 tahunan "
"0","psbb diringankan sekolah boleh masuk sesuai protokol covid 19 pilkada tatap jalan selesai pilkada isu positif covid naik"
"0","NU Mulai Tarik Diri dari Jokowi Kritisi Pilkada"
"1","Tau bakal viral gini saya kemarin ikut pilkada di partai sayur kacang menang telak pasti"
"0","Gak ada covid aja pemilu udah makan korban"
"0","Pemilu aja petugas kpps banyak yg meninggal belum ada covid padahal waktu itu"
"0","Bener banget kalau ada yang bilang Pemilu tuh lelang pendahuluan barang curian Sampai suara pasien Covid pun dicuri"
"0","PEMILU kada 9 Desember segera di gelar sementara di berbagai wilayah terjadi zona merah covid 19 ambyar covid 19"
"0","Udah kena covid masih dibela belain diambil suaranya dengan risiko penularan baru itu udah benar benar pengejawantahan"
"0","jkt Yg pemilu aja horor gimana Pilkada di momen Covid 19"
"0","jkt yang pemilu lalu banyak yang bunuh kalo yang sekarang bikin petugasnya pada sakit Covid 19"
"1","Why you reaktif terhadap berita macam ini KEJADIANNYA SAJA BELUM HANYA UCAPAN"
"1","Demi terselenggaranya pemilu yang luber dan menjaga marwah demokrasi petugas sampai rela datang ke pasien covid 19"
"0","Orang yang sehat aja belum tentu peduli ama pemilu lahh ini orang positif covid di bela2 di suruh nyobolos Indonesia"
"1","Penyelenggara pemilu harus tegas Pilkada jangan sampe ajang penularan covid 19 Paslon Abai"
"0","Aku dan kluarga bakal golput taun ini fix abis pemilu pasti bkl naik lg angkanya sing susah siapa "
"0","LO PIKIR ORANG KENA COVID BAKAL SEMPET PEDULI SM PEMILU HAH"
"1","Ini keputusan yang sangat sulit untuk ditunda tetapi kami ingin memastikan keselamatan publik dan kesel"
"0","Pada Pemilu Singapura bulan Juli yg lalu pasien Covid amp seluruh kontak eratnya yg masih dikarantina"
"1","yah karena jmlhnya bnyk dan mereka punya hak pilih trus mo gimana ga disuruh milih"
"0","pasien covid masih disuruh ikut pemilu ampun deh ini program pemerataan penyakit bener2 niat banget"
"0","tau ga kenyataan yang disuruh masuk keliling bawa kotak pemilu ketemu pasien covid ntar siapa perawat kalo ga helpernya hehe"
"0","Jikalau simulasi pembelajaran tatap muka sekolah saja banyak cluster baru apakah dengan adanya pemilu menjamamin aman"
"0","emang dulu sebelum covid kalau ada pemilu juga didatengin tah orang2 di rs buat nyoblos"
"0","Malaysia tunda pemilu karena covid 19"
"0","Hak pilih dipikirin hak untuk sehat dan negara terbebas dari covid kaya ga dipikirin "
"0","Pasien isolasi covid aja ga boleh ketemu sama keluarganya harus videocall lah ini malah mau ditemuin panitia pilkada"
"0","jika proses ini berbahaya menularkan KPU perlu ikut rekomendasi otoritas kesehatan"
"0","Jelang Pilkada Serentak 2020 pada 9 Desember sebanyak 3 pengawas TPS dan 14 petugas KPPS di Gunung Kidul ditemukan CO positif"
"0","3 ujian besar beruntun bangsa Indonesia dalam waktu dekat 1 Pilkada 2 Libur akhir tahun 3 Tatap muka sekolah Semua"
"0","Lha pilkada masih lanjut gitu kasus covid nomer kesikian lah padahal klo pemilu banyak massa"
"0","Gara2 pilkada bokap terindikasi gejala covid Padahal uda selalu bermasker Circle covid gue uda sampe keluarga"
"0","Tetangga sebelah rumah dirawat krn covid amp ga boleh sedetikpun didatangin keluarganya Tapi demi pilkada ada izin"
"1","Mari kita wujudkan dan sukses Pilkada serentak 2020 dengan Aman damai dan sehat"
"1","Mari wujudkan Pilkada tahun 2020 di Kabupaten Lamongan aman damai sejuk sehat dan selamat Aman"
"0","Apabila saya ikut pilkada tertular Covid dan amit amit meninggal apakah pemerintah akan memberikan kompensasi"
"1","Ayo kita sukseskan Pilkada dan cegah covid dengan taat Prokes DisiplinTerapkan3M"
"1","Debat Paslon Pilkada Solo Gibran akan Tangani Covid 19 Pakai Teknologi Mutakhir"
"0","Hasil Swab Test 5 Petugas Pilkada 2020 Kabupaten Ngawi Dinyatakan Positif COVID 19"
"0","Jelang Pilkada Serentak 2020 pada 9 Desember sebanyak 3 pengawas TPS dan 14 petugas KPPS di Gunung Kidul ditemukan CO positif"
"1","Pakai aturan pilkada Pasti aman Covid saja tunduk"
"0","Covid pertama akan meledak diatas 10rb kasus perhari Setelah pilkada serentak Nakes kewalahan"
"0","waah bisa gawat muncul kluster baru akan terjadi karena tidak siap dengan prokes covid 19 "
"0","Tgl 9 pilkada anjrot Di malaysia covid meingkat tajam gara gara ada pilkada jg Jd parno"
"1","Jokowi Pilkada 2020 Dapat Diundur Jika Corona Belum Usai Desember"
"0","Gak khawatir kan ada Pilkada Corona pasti pergi"
"0","Corona gak pernah milih2 lho klo mau nyerang"
"0","Pilkada datang Corona Hilang"
"1","Pilih Sesuai Hati Nurani Polri Siap Kawal Pilkada 2020 Tetap Patuhi Protokol Kesehatan Mari Putus Mata Rantai Penularan corona"
"1","Alat tempur mencegah corona datang di masa Pilkada"
"0","Waktu pemilu 2019 gaada korona aja petugas KPS yg meninggal ada 894 orang apalagi pilkada skrg bodoamat lah gue"
"1","Pilkada dilindung UU Corona gak akan nular"
"0","PSBB tingkat lanjut Pilkada jelas lanjut lah Corona bukan lagi virus tapi orang yang ngatur peraturan"
"0","Serius ini corona masih ada tapi pemerintah maksain pilkada"
"0","Guys gimana caranya ya biar mak bapakku gak ikut pilkada Masalahnya nih ya CALON DI KABUPATEN CUMA SATU NJIR"
"0","Virus Corona tahu diri dia tidak akan menulari Pilkada Serentak"
"0","Lah Pilkada kan bisa berhubungan dengan Korona katanya gmn sih"
"0","dan sebentar lagi ada pilkada corona by like"
"0","Kabareskrim Polri menyebut kenaikan kasus Korona dampak dari demo omnibus kampanye Pilkada hingga kerumunan Habib Rizieq"
"0","Kaleum beres pilkada jol leungit dengan sendirinya gera corona mah"
"0","kok klen heran lagi mendesak korona begini tetep wajib milih pilkada kan dulu juga 2013 banyak tu warga yang wafat"
"1","Alhamdulillah 270 titik pilkada sudah selesai Luar biasa rakyat Indonesia melaluinya dengan baik "
"1","Tidak hanya KPU tapi peran peserta dan pemilih juga sangat penting untuk menyukseskan pilkada serentak 2020"
"1","Sukseskan Pilkada 2020 Bantu Indonesia lawan corona dengan selalu menerapkan 3M saat beraktifitas diluar rumah "
"1","Sukseskan Pilkada 2020 Kita perangi corona dengan senjata andalan kita 3M mencuci tangan memakai masker dan menjaga jarak "
"1","Pilkada 2020 adalah momentum penting untuk melanjutkan pemerintahan walau ada tekanan baik secara ekonomi maupun dari pandemi Covid 19 "
"1","pilkada serentak 2020 dalam kondisi pandemi Corona para paslon ayo ikuti protokol kesehatan Covid19 dan menjadi contoh baik"
"1","Tahapan pemilihan serentak akan diadakan pada 9 Desember 2020 Jangan lupa tetap memperhatikan protokol kesehatan ya"
"1","Sukseskan Pilkada thn 2020 yakinlah Indonesia akan bebas Corona jika kita taati protokol kesehatan dan terapkan 3M"
"1","Tetap memilih dalam lindungan protokol kesehatan Yuk gunakan hak pilih dalam Pilkada Serentak 2020 "
"1","Idham Azis menerbitkan Maklumat terkait dgn kepatuhan terhadap protokol pencegahan corona dlm melaksanakan Pilkada Serentak 2020 "
"0","Omnibus law kalo ga ditolak buruh sengsara alam ancur ancuran Pilkada cuma ajang cawe cawe bangsa"
"0","Walaupun tengah dalam situasi pandemi pilkada harus tetap berjalan demokrasi mesti bergerak kata orang berjas"
"1","Gelar Doa Bersama Agar Pilkada Sidoarjo Lancar dan Aman dari Covid 19"
"1","Panitia pilkada aman aman saja"
"1","Sebagai warganegara yg baik kita harus dukung dengan Sepenuh Hati agar pilkada 2020 nanti lancar sesuai dengan Aturan yg berlaku "
"0","Yg gw tunggu sikap PSI menolak dilaksanakannya Pilkada krn pandemi covid 19"
"0","Karut Marut Jelang Pemungutan Suara Pilkada Masa Pandemi Pilkada2020"
"0","Udahlah pak kalau ditunda dulu aja kenapa"
"0","Mau mengharapkan apa dari pemerintah yg tetap ngadain pilkada dan ngebolehin massa ormas di kala pandemi serta motong hak cuti bersama"
"0","Pilkada 2020 dimasa pandemi bukan lagi hajatan rakyat melainkan menuruti ego penguasa Anda peduli dgn nyawa rakyat"
"1","Ditengah Pandemi Covid 19 Marilah tetap laksanakan Protokol kesehatan menuju Pilkada Kab Boyolali yang aman "
"1","mengingatkan bahwa Pilkada kali ini akan menentukan arah ketahanan kesehatan dan pemulihan daerah akibat pandemi"
"1","Halo TemanPemilih setiap nyawa kalian sangat berarti"
"0","Pilkada di Tengah Pandemi Demi Demokrasi Siap Mati "
"0","Pilkada di tengah situasi pandemi ini diperkirakan membuat proporsi suara golput meningkat"
"0","Tolong gunakan Hak Prerogatif anda utk pelayanan Pilkada 2020 Resiko dicaci oleh pihak yg kekeh"
"0","Politisi Berpesta di Pilkada Rakyat Mati Karena Pandemi lewat"
"0","lagi denger wakil gubernur Jabar ngomongin gimana pilkada pas pandemi ini Ya Allah riweuuuuh"
"0","Tak kira yang pengen Pilkada cuma Pak Jokowi bos ternyata banyak yang semangat Pilkada di masa pandemi okee"
"1","Ditengah Pandemi Covid 19 Pilkada 2020 Tetap Patuhi Prokes 3M Guna Mencegah Klaster Baru Covid 19"
"1","Ayo Gunakan Hak Pilih Anda Rabu 9 Desember 2020 Patuhi Prokes Cegah Covid19"
"1","Pilkada lancar aman sehat penyelenggara Pilkada memberikan rasa aman dan taat prokes Disiplin Terapkan 3M"
"1","Ayo kita sukseskan Pilkada dan cegah covid dengan taat Prokes "
"0","waah bisa gawat muncul kluster baru akan terjadi karena tidak siap dengan prokes covid 19"
"0","Kasus naik PSBB lagi cenah dan serba dasar lagi tapi pilkada jalan terus dan katanya lagi isolasi bakal disampingkan"
"0","Yg dimasalahin bukan pilkadanya Tapi bikin kerumunan Mau pilkada pilkadal atau pilpil yg laen asal jgn malah jadi masalah"
"1","Mari guys ta ati selalu prokes dalam pelaksanaan Pilkada 2020 "
"1","Pilkada lancaaarr kesehatan Anda terjaga Tapi ada usaha patuhi 3M prokes"
"1","Ayo guys Sukses kan Pilkada serentak 2020 dan ta ati selalu prokes "
"0","Fakta sudah menjawabnya adanya pilkada justru memperparah persebaran Covid 19 Padahal para pakar sudah memprediksi"
"0","Colek Dampak Kasus Pilkada Kasus Corona Hari Ini Meroket Bertambah 6 033 Kasus Positif Baru Jumlah pasien terkonfirmasi"
"0","Tempat paling parah adalah ditemukannya petugas KPPS yang terjangkit COVID 19 tapi tetap datang ke TPS "
"0","Potensi Picu Kerumunan Satgas COVID 19 Larang Massa Rayakan Hasil Hitung Cepat Pilkada 2020"
"1","Terimakasih Kepada Seluruh Masyarakat Jawa Timur yang telah Berpartisipasi dan turut menjaga Pilkada Serentak 2020"
"0","Protokol kesehatan pada hari pencoblosan Pilkada 2020 tidak maksimal Ada TPS yang tak menyediakan bilik khusus"
"1","Tetap memilih dalam lindungan protokol kesehatan Yuk gunakan hak pilih dalam Pilkada Serentak 2020"
"0","Hari Pemungutan Suara Pilkada Serentak 2020 KPU 79 Ribu Petugas KPPS Reaktif Corona"
"0","Risiko Tertular Virus Corona Dengan Ikut Mencoblos Pilkada 2020 INDONESIA"
"1","Tradisi tinta celup itu kini berubah wajah saat Pilkada Serentak 2020 yang digelar di masa pandemi virus Corona"
"0","PIlkada Serentak 2020 di Tengah Pandemi Corona KPU Partisipasi Pemilih Cenderung Turun"
"0","Usai Pencoblosan Pemerintah Minta Satgas Waspadai Kerumunan pada Tahapan Pilkada Selanjutnya"
"0","Hari Pemungutan Suara Pilkada Serentak 2020 KPU 79 Ribu Petugas KPPS Reaktif Corona terima kasih pak jokowi"
"1","Warga Kota Batam yang tengah menjalani perawatan dan isolasi di RS karena COVID 19 bersyukur masih bisa menggunakan hak pilih"
"1","Hebat ga ada klaster corona pilkada"
"1","Dampak Corona bareng pilkada suwe ga tau ketemu arep ketemu enek tendo biru"
"1","Semoga petugas KPPS yang positif Corona cepat sembuh baktimu luar biasa"
"1","Rangkaian pilkada terlindung undang undang Corona menentukan syarat begitu"
"1","Mengingat pilkada masih belum selesai tim Satgas Covid 19 berharap kepada semua pihak untuk tidak lengah dan luput dari proker"
"0","tapi korona ga liat itu pilkada sih gmn dong"
"0","Korona membatasi ibadah pekerjaan usaha dan pembelajaran tapi tidak dengan pilkada Kenapa Karena corona nggak"
"0","Sebenernya sayang sih tahun ini memilih untuk golputtt YA KALI CORONA BEGINI MAU IKUT PILKADA"
"0","Viral surat suara Pilwalkot Samarinda Kalimantan Timur Kaltim ditambahi dengan kertas menyinggung pilkada digelar saat pandemi"
"0","Corona alis 19 menghilang menghilang seraya dtgnya bulan Pilkada serentak"
"0","Pantes kemaren corona gaada ternyata lagi ada Pilkada"
"0","Setelah pilkada lihat gimana si corona langsung melunjak atau menanjak terus seperti biasanya krn kmrn pd ribut pilkada"
"0","Corona takut sama UU pilkada"
"0","Kalo pilkada bebas corona libur juga mungkin merah mah bebas"
"1","Banyak pihak yang senang dengan tingkat antusiasme masyarakat saat pilkada tahun ini walaupun Indonesia msih ditengah pandemi"
"0","keuntungan pilkada dan pil pil lainnya di pandemi apa dah corona blm kelar negara malah produksi rompi oren"
"0","Apa kabarnya ID yang adain Pilkada besar2an di tengah pandemi corona ini Sampe mati2an cari suara orang positive cov"
"0","Mohon maaf Corona tidak menyerang Pilkada"
"0","Korona menangis terharu melihat kampanye pilkada kampanye ini"
"1","Alhamdulillah secara umum Pilkada berjalan lancar dan aman namun kita tidak boleh menutup mata selama proses berlangsung"
"1","Dengan berakhirnya pilkada maka berakhirlah juga masa kontrak Corona di negeri ini Wassalam"
"0","Di Jerman pemimpinnya minta maaf atas 590 kematian per hari akibat Corona Di Indonesia Pilkada booos Klean mo mati juga"
"1","Tingkat nyata protokol kesehatan bukan isapan jempol Masyarakat sudah mengerti dan mengerti prokes"
"0","Coba tanya ke mentri ini om kalau terkait pilkada bisa tekan laju penyebaran korona gak"
